gender,race,age,experience,education_years,gpa,test_score,hired
Male,White,41,13,19,3.5912609576143124,621,1
Female,Black,68,29,12,2.456455331872463,451,0
Non-binary,Asian,27,36,17,2.3590832258209637,1277,1
Male,White,73,30,19,2.444324099077922,441,1
Male,Black,65,39,19,3.4426443845176795,706,1
Male,Black,42,5,12,3.7642014436132922,765,1
Male,Black,18,26,20,3.5741751112724005,775,1
Male,White,29,10,19,2.009740690067577,1471,1
Non-binary,Hispanic,38,23,17,3.8002943850053805,591,1
Male,Black,37,25,21,2.3883262802151206,1170,1
Female,White,72,13,21,3.9346117997514014,1415,1
Male,Black,21,39,15,2.6493264845549005,1435,1
Non-binary,White,76,18,20,2.288790762285317,1431,1
Male,Black,49,10,14,3.6357211398927927,508,1
Female,Black,22,28,19,2.387676374557718,560,1
Female,Asian,77,1,21,2.6811631318179376,1328,1
Non-binary,Hispanic,23,11,18,3.2229077092688487,1459,1
Female,Black,76,35,16,2.6218247425401886,745,1
Female,Other,53,37,15,2.872071735219878,1202,1
Male,Hispanic,65,30,21,3.5383508415069054,684,1
Non-binary,White,47,1,14,2.042489934383462,910,0
Male,Asian,73,39,20,3.057734976359284,906,1
Male,White,62,12,17,2.924102833334208,502,1
Male,White,32,35,13,2.5645547975271565,991,1
Male,White,37,34,17,2.880924213870776,1512,1
Male,White,26,21,18,2.0935713270881497,986,1
Male,White,21,4,16,2.5561477012939315,843,1
Male,White,34,39,15,3.122690954647657,1362,1
Non-binary,White,78,36,13,2.4919237395475564,1361,1
Female,Asian,28,34,14,3.294247986069238,1369,1
Male,Black,75,32,20,2.8591464246149014,1484,1
Male,Other,63,11,17,2.0039034266752553,469,1
Female,Black,31,23,17,2.7482301639825595,927,1
Female,Hispanic,32,31,20,2.15418840086458,413,1
Female,Asian,66,28,15,2.2547715135894295,1126,1
Male,Black,67,37,19,3.3478891557864587,1122,1
Male,Asian,41,39,17,2.1202490193605836,1512,1
Male,Asian,26,15,12,2.0390341265249337,928,1
Non-binary,White,60,13,12,3.7757653034972254,1361,1
Female,Black,21,4,20,2.736927200738951,441,1
Non-binary,Black,60,14,15,3.8467185440814546,1434,1
Male,Asian,35,13,15,3.9880968875670226,1223,1
Non-binary,Black,62,39,13,2.2642268832276944,441,1
Female,Black,77,36,15,2.665725206127873,1452,1
Male,Black,62,8,20,3.0328031509073634,916,1
Male,White,39,21,15,3.5646321652255866,1088,1
Female,Asian,35,18,19,2.2100967102550966,839,1
Male,Other,46,28,14,2.8192845187159685,1111,1
Non-binary,Black,74,12,13,3.339205920533135,1413,0
Female,Hispanic,47,17,21,3.731315015686945,454,1
Non-binary,Asian,61,22,20,3.0481983702861655,701,1
Male,White,20,38,19,3.8698056441387685,579,1
Male,White,42,12,13,2.9559086495440186,1502,1
Non-binary,White,40,27,13,3.0567405139378403,685,1
Non-binary,White,40,3,19,2.6996240987053843,1257,1
Female,Asian,70,4,12,3.864237729409643,1480,1
Non-binary,Black,41,7,17,3.719708036450375,1479,1
Non-binary,Hispanic,21,32,15,3.971588475966217,1253,1
Female,Asian,74,34,20,2.035308631156372,1213,1
Female,Other,57,19,15,2.4141532794354497,1218,1
Male,Black,52,33,15,3.8710622188458084,725,1
Non-binary,White,37,21,12,3.4783981741698984,434,1
Female,White,32,39,13,2.6237937344609272,425,1
Male,White,24,12,15,2.885404076388526,1068,1
Male,White,47,3,14,2.5772085601798205,799,1
Male,White,77,13,20,3.3017039105766317,579,1
Male,Asian,77,35,14,2.7820299278853824,776,1
Male,Black,59,18,20,3.4645844764568867,1524,1
Male,Asian,55,36,16,3.3052357509091195,582,1
Non-binary,Other,32,36,18,3.4392167799263786,1063,1
Male,White,59,21,20,2.4777700949009924,717,1
Male,White,31,38,21,2.2601384037157612,627,1
Female,Black,51,23,14,3.197747274822265,1451,1
Male,Black,39,27,12,3.9044842347460644,515,1
Female,White,70,26,17,2.6711175613350937,1541,1
Male,Black,40,32,20,3.3335030746165373,994,1
Male,Asian,20,35,15,2.4257873940455514,1324,1
Male,White,47,7,19,3.240714565550101,894,1
Female,White,40,19,21,3.17205810033778,984,1
Female,White,68,12,21,2.5924044675392297,1214,1
Male,Asian,45,29,21,3.9302252466117404,1170,1
Non-binary,Asian,70,28,16,3.5203104736273136,551,1
Female,White,57,20,18,3.6560577889233503,878,1
Male,Asian,47,5,16,3.232610739855067,470,1
Male,White,20,12,19,2.0554728779016975,1087,1
Male,Asian,26,0,21,3.422679170759399,923,1
Female,White,79,12,16,2.33453655564613,496,1
Female,White,28,22,17,2.639044821582681,657,1
Male,Asian,18,16,12,2.4684556900627834,865,1
Female,Hispanic,29,13,12,3.750241126578379,1365,1
Male,Asian,78,17,18,2.3647567651840466,424,1
Non-binary,Black,57,27,18,3.9664299901938556,665,1
Male,White,38,24,15,3.764566496102516,1215,1
Non-binary,Hispanic,59,24,16,3.6660450375953832,1257,1
Non-binary,Black,25,25,15,3.1429162420792967,1062,1
Female,White,63,13,18,2.1742174962095504,722,1
Non-binary,Black,61,28,18,2.8519928344842214,1407,1
Male,Other,34,20,20,3.1351389737035893,1513,1
Male,White,35,35,13,2.8518998387753913,517,1
Male,Asian,50,36,19,2.5598357109372643,764,1
Female,Hispanic,64,3,15,3.2317057419462087,1180,0
Female,Asian,39,35,15,2.184361980001584,571,1
Male,White,62,23,15,2.081150061577001,698,1
Male,Asian,32,2,19,3.657924713903502,529,1
Male,White,56,7,16,3.6591503212837813,737,1
Male,White,29,5,19,2.4960251661782014,1127,1
Male,Other,65,10,13,2.0347418041474015,1319,1
Female,Asian,48,23,15,2.5342651573427117,742,1
Male,White,49,17,18,3.4415011543111333,1534,1
Female,White,43,38,13,3.0781904773934485,1067,1
Male,Black,60,28,14,3.469938853902004,1302,1
Male,White,37,33,17,2.4707723373199446,797,1
Male,Black,37,1,21,3.514932814090226,593,0
Female,White,45,13,13,2.3694353577527894,954,1
Non-binary,Hispanic,66,21,15,2.5670694425545957,863,0
Male,White,44,1,19,3.033213456980205,977,1
Female,White,51,20,20,3.473898679198867,1396,1
Non-binary,White,62,0,14,2.7267917962252213,1469,0
Male,Asian,58,39,15,2.096596836103407,542,1
Male,White,43,12,17,3.1266856830848884,421,1
Non-binary,Hispanic,77,1,16,3.591953088318388,1390,1
Female,Black,19,29,15,2.098745233761772,770,1
Female,White,66,14,19,3.66827474095556,722,1
Male,White,57,36,14,3.563621467672394,431,1
Male,Hispanic,19,29,16,3.9827274503867,1114,1
Male,White,19,17,15,2.658463133661149,1469,1
Male,White,60,1,18,3.3448153385788304,1237,0
Male,Black,20,21,18,2.6069893274115565,1330,1
Male,White,46,22,20,2.699370680058709,849,1
Female,Other,42,6,14,2.452413479941467,1019,1
Male,Other,57,0,21,3.2979941721561437,1373,0
Male,White,72,39,14,2.728670817102479,1096,1
Male,White,27,23,14,2.019459947534481,1438,1
Non-binary,Hispanic,49,11,17,3.101375967957808,970,1
Male,White,50,0,18,3.264961932213131,401,1
Female,Black,70,15,12,3.362923926895893,1357,0
Female,Black,66,5,13,3.7416691082521183,439,1
Female,Black,68,33,15,2.220159560271534,589,1
Female,Asian,32,33,14,2.898193579247767,1444,1
Non-binary,Other,37,35,16,2.848858155633205,1334,1
Female,White,61,20,20,2.074161276966613,1234,1
Female,Black,56,13,15,2.570429287114033,845,0
Non-binary,White,25,11,17,2.71218295826644,797,1
Female,Hispanic,67,2,21,3.491159595670002,1331,1
Non-binary,White,36,15,20,2.2998950282268016,825,1
Female,Black,59,37,18,3.516228063265686,1195,1
Male,Black,67,12,19,3.021504061763246,476,1
Female,Asian,54,15,17,3.045217477155587,1007,1
Male,Asian,58,39,20,2.9363536998247044,636,1
Male,Black,23,9,16,2.870259944415681,1562,1
Male,Asian,54,20,12,2.385019889870833,592,1
Female,Asian,54,23,13,3.969295673883689,875,1
Male,White,52,29,16,2.999261455922646,998,1
Male,Other,51,21,16,3.9674881370991297,933,1
Non-binary,Other,30,12,15,3.377328392433686,1560,1
Female,White,62,32,20,3.260343415564848,1557,1
Male,Hispanic,48,12,19,3.739723178131578,906,1
Non-binary,White,51,15,20,2.5055193573654053,712,1
Male,White,41,21,19,3.8163957780696,1432,1
Female,Asian,78,5,14,2.6618700133477255,1065,1
Male,Black,77,20,14,2.068204719570196,924,1
Non-binary,White,33,22,16,2.3962619215099807,615,1
Female,White,70,32,14,2.0881606482771646,1486,1
Male,White,74,19,13,3.249537602009336,552,1
Female,Other,62,15,13,3.419702899619738,1078,1
Male,White,30,35,12,2.1437708643802766,490,1
Male,White,20,5,18,2.749327671075771,1177,1
Male,Asian,20,8,14,2.95929926025942,498,1
Male,Black,69,7,12,3.7878087801063494,697,0
Female,White,75,36,20,2.4820577583754986,1364,1
Female,Asian,75,24,17,2.012918610902399,1408,1
Non-binary,White,23,25,20,3.800317973302529,886,1
Male,Asian,31,18,12,3.188946955345547,1175,1
Male,White,24,27,12,2.9376122775397318,1146,1
Male,White,39,29,16,3.1348278072838807,615,1
Female,White,45,20,19,2.4704072268666137,1138,1
Male,White,59,12,14,3.523779446851263,1197,1
Female,White,59,28,17,2.4149793485607023,1588,1
Female,White,78,0,17,3.5617173465362106,492,1
Male,White,62,21,18,2.9300979914320626,1538,1
Female,Black,32,13,19,3.3873485083425496,1277,0
Male,White,54,17,12,3.2442172645676957,533,1
Female,Asian,71,35,16,3.298670855516246,431,1
Female,White,49,0,16,3.6274721406671078,732,1
Male,White,22,3,12,2.8568597774376787,1368,1
Female,Black,74,18,13,2.3009429216781485,777,1
Male,Asian,76,0,18,3.1825118252336946,853,0
Female,Hispanic,74,19,14,3.2217824136405993,1051,1
Male,White,76,6,18,2.3806068710128763,1248,0
Non-binary,Black,73,21,20,2.5675019071601404,944,0
Female,White,54,10,21,3.028593044196669,901,1
Male,Black,45,1,12,3.6606531145619097,682,1
Male,Asian,54,23,12,3.0370902683319843,1060,1
Female,Black,53,1,13,2.7776497604916868,655,0
Male,Black,59,18,16,2.963342189193857,1597,1
Female,Black,18,3,19,2.4865365758576026,1353,0
Male,Hispanic,49,31,18,3.466184315176565,994,1
Male,Hispanic,22,7,19,2.2869677785443256,1508,1
Female,White,29,21,15,3.1800837005029328,989,1
Male,White,36,28,14,3.4408217723115873,756,1
Male,Black,19,8,19,2.7972880782715563,1239,1
Male,White,58,35,17,2.8172214595850127,931,1
Male,Black,65,15,13,2.562242592781944,775,1
Female,White,37,18,12,2.590593157239164,948,1
Female,Black,28,9,18,3.5469294005396,1550,1
Non-binary,Black,79,17,18,2.010206004228186,1007,0
Male,White,61,20,13,2.23244731050584,1445,1
Male,White,74,16,20,2.814736955522898,521,1
Non-binary,White,57,28,15,3.505101718627435,841,1
Female,White,55,5,17,3.724366212719139,945,1
Male,Black,22,33,16,2.2560375640175128,492,1
Female,White,63,22,17,2.8206808461352315,790,1
Female,White,24,13,12,3.47788136775057,790,1
Female,White,69,22,17,3.5488471697424835,1024,1
Female,White,20,16,17,3.340900554370363,1143,1
Non-binary,Black,19,22,20,3.1291617685843445,1057,1
Male,White,32,38,21,3.2222555611319685,775,1
Male,Asian,47,0,15,2.8073129878304024,738,1
Female,Black,53,19,12,2.7330211927447734,694,0
Non-binary,Asian,38,0,13,3.9235116574631026,700,1
Female,White,39,37,20,2.8425165581802454,796,1
Female,Black,26,26,16,3.5179771491120597,1460,1
Male,Asian,29,0,16,2.3523925039056026,1421,1
Male,Hispanic,65,23,14,2.8234878894861035,870,1
Male,White,63,3,20,3.101142877608814,1052,1
Female,Asian,68,24,21,3.358451043761504,953,1
Male,Black,49,12,14,3.0587491765768204,812,1
Male,White,38,3,21,3.2413129915185785,729,1
Male,White,28,33,16,3.81411596032899,446,1
Male,Black,54,4,20,3.138521770759861,770,0
Female,Hispanic,79,30,20,3.2535620010561694,1084,1
Male,White,48,27,16,2.885783023210002,886,1
Male,Asian,24,4,18,2.520429380444317,1471,1
Female,White,37,24,18,2.3702840514913817,752,1
Female,Black,57,33,18,3.8491030961319117,1030,1
Male,Black,50,24,14,3.096226257804064,1023,1
Male,White,39,23,14,2.1804899782179614,918,1
Male,Hispanic,33,27,14,3.515573830286023,439,1
Male,Hispanic,46,24,20,2.6894223547761564,1011,1
Female,Black,41,16,17,2.390248817298245,883,1
Male,Hispanic,69,35,21,2.567172648154621,845,1
Male,Hispanic,58,9,17,3.5846266518748644,1374,1
Male,White,60,1,15,3.1443532470335844,563,1
Male,Asian,78,17,17,3.76800207636193,872,1
Non-binary,White,31,15,21,3.3950159890844933,827,1
Male,White,74,30,20,3.260374354733143,917,1
Non-binary,White,25,4,12,3.8503303417756913,1353,1
Male,Black,74,10,17,3.9977814322650937,1348,1
Female,Hispanic,49,10,15,3.65957056876473,985,1
Male,White,48,13,19,2.221796136098469,946,1
Female,White,77,12,19,2.6187128219307434,403,0
Female,Black,69,16,19,2.494689158253336,1195,1
Non-binary,White,59,26,18,2.0708633682165885,1348,1
Male,Black,40,20,15,2.539945840944508,577,1
Male,White,25,31,21,2.1978957219883886,501,1
Male,Black,53,32,21,2.257100462485692,1021,1
Male,Black,38,35,19,2.795450930998455,882,1
Male,Black,70,1,21,3.1638521685115935,1486,1
Female,Asian,36,25,12,3.860891470863681,1077,1
Male,White,58,7,14,2.264215444513666,1365,1
Male,Black,18,34,12,3.2188353919332346,481,1
Female,Black,41,19,12,2.440395474279547,1209,1
Male,Asian,37,19,16,3.744443672058183,424,1
Female,White,19,18,13,3.6893997458014773,652,1
Male,Asian,35,3,21,3.2637719937091836,574,1
Non-binary,White,41,9,15,2.2506567355074547,868,1
Female,Black,53,23,20,3.0122707612861452,1045,1
Male,Asian,64,26,14,3.609125668226974,647,1
Male,Hispanic,20,27,15,2.794554652114344,1196,1
Male,Asian,56,35,16,3.494971696790703,1145,1
Female,Black,61,4,19,3.139919434770925,1003,1
Female,White,42,7,19,2.7342804185189005,872,1
Non-binary,White,68,11,17,3.5975709417522914,1144,1
Male,Black,37,24,19,3.4767652716309208,629,1
Male,White,47,17,18,2.7259961218606144,663,1
Male,Black,30,37,16,3.4151083144800545,673,1
Non-binary,Asian,32,17,14,3.9679570601269902,412,1
Female,White,31,15,17,2.2656454128528667,859,1
Non-binary,White,20,39,16,2.443819930764482,824,1
Male,Asian,73,36,17,2.971079786996542,1460,1
Female,Black,60,39,18,2.5799460898990505,1066,1
Non-binary,Black,78,25,19,2.263361902146394,1586,1
Female,Asian,41,6,17,3.479812332275376,679,1
Non-binary,Hispanic,61,18,18,3.267178584918334,1019,1
Female,White,79,37,16,2.0768578817316725,617,1
Male,White,39,20,16,2.4901074009563358,1172,1
Non-binary,White,29,32,19,3.1022485341784147,1133,1
Female,White,31,36,14,3.5795308276660887,984,1
Male,White,69,28,15,2.2571546175398876,888,1
Male,Asian,79,28,15,2.0700312622972503,899,1
Female,Black,37,38,18,3.335223481913286,785,1
Male,White,62,11,18,2.8778719848619163,1238,1
Male,Black,50,26,20,3.0387156508264646,947,1
Female,White,23,27,20,2.2645185878874274,1395,1
Male,Black,25,23,18,2.11111812515389,707,1
Non-binary,Black,74,22,20,2.4729811368339876,805,1
Non-binary,White,22,28,21,3.057976674860077,1059,1
Male,White,40,34,19,3.4515945561377874,462,1
Male,White,59,0,15,3.112465090824898,990,1
Male,White,41,11,12,3.5280102916789504,1024,1
Male,Asian,71,26,19,3.0135979197921228,497,1
Female,Hispanic,47,14,21,2.973783073454459,1446,0
Male,Asian,22,32,12,3.674959217236545,1043,1
Female,White,77,1,14,3.9162515601202075,820,1
Female,White,72,3,15,3.3176493469053705,1081,1
Male,White,74,34,15,3.657009239353174,937,1
Female,Asian,25,24,20,2.7388573373366607,530,1
Male,White,61,14,18,3.822772675927925,442,1
Female,White,76,34,21,2.273757269358267,1332,1
Male,White,24,11,17,3.1296102307972675,610,1
Non-binary,Hispanic,56,5,19,2.434225493099106,839,0
Non-binary,White,22,14,14,2.1267819467740186,1314,1
Male,White,49,37,13,3.0109523936158578,1440,1
Male,White,69,8,21,3.483757734320552,1181,1
Male,Asian,62,14,21,3.2048212555551667,806,1
Male,White,22,13,14,3.373397961233705,1100,1
Non-binary,White,37,8,18,2.771769003328858,1555,1
Non-binary,White,21,22,14,3.159111234453259,1153,1
Female,Hispanic,23,33,20,3.3958957395749088,1013,1
Female,White,23,3,19,2.6598051152974542,1098,1
Female,Hispanic,31,1,13,2.669913587394977,1107,1
Female,White,74,21,15,2.228546637497619,1080,1
Male,Black,69,5,16,2.1882750653595484,1188,1
Male,Black,40,36,18,2.1589423000682926,588,1
Non-binary,Asian,65,8,20,3.056231749181978,1409,1
Female,Asian,56,20,15,2.3094507137400084,767,1
Male,White,72,22,17,3.551883027746986,627,1
Male,White,78,29,17,3.8738969780902157,483,1
Female,Hispanic,75,26,12,2.6505535366979864,1244,1
Male,Black,29,26,16,3.624487688406436,890,1
Female,Hispanic,28,8,16,2.5365139970482486,1066,1
Female,White,30,38,20,3.2664305870232733,1089,1
Male,White,57,38,18,2.8616142957907904,1262,1
Female,Asian,60,6,15,3.303736690892954,1565,1
Male,Black,43,6,16,3.571401713558021,937,0
Male,Black,31,39,14,2.5403498735554617,735,1
Male,Other,52,30,13,2.9673708052453867,1093,1
Female,White,47,23,18,2.2800876338630887,1328,1
Male,Other,40,22,18,3.009502865278326,1521,1
Male,Black,57,29,18,2.7003774030189542,1450,1
Male,Asian,34,29,20,3.6630238480389408,960,1
Non-binary,Black,77,1,21,2.9409025977734204,1037,1
Male,White,36,6,15,2.4454122811297996,1280,1
Female,Asian,56,14,19,2.2608197123492384,1137,1
Non-binary,Asian,75,32,19,2.7444991112411428,846,1
Male,Hispanic,43,28,20,2.665870665560364,498,1
Female,White,66,30,19,2.8342481855952077,1253,1
Male,White,69,35,18,3.948493310240935,1539,1
Female,Asian,39,19,15,2.1760252612081317,581,1
Female,White,55,26,20,3.068819852814327,833,1
Male,Asian,40,1,17,3.7602255249992376,620,1
Female,Asian,46,33,19,2.4048092671827206,1276,1
Non-binary,Black,52,14,17,3.0428592013360607,1088,1
Male,Black,78,6,16,3.167296653085613,850,1
Male,Asian,76,36,16,2.215442748063829,923,1
Male,White,77,34,21,3.0499016846049347,1398,1
Non-binary,White,66,17,14,2.968825701928375,893,1
Non-binary,Black,54,36,16,2.675099216602894,1112,1
Male,White,30,9,17,2.5343386054740265,1292,1
Female,Black,50,5,17,2.5756005108782176,831,0
Female,Hispanic,66,13,15,2.0420097018377286,772,1
Non-binary,White,28,36,13,2.333891397236383,1162,1
Male,Hispanic,45,24,15,2.100520326496793,1304,1
Non-binary,Black,62,23,20,2.2120085654815003,887,1
Non-binary,Black,34,28,20,3.5147865668054994,651,1
Female,White,26,12,15,2.892723980401282,1062,1
Female,Asian,37,0,21,2.483478710297932,475,1
Male,White,66,21,20,2.9366066745272246,1310,1
Female,Black,54,33,18,3.3870153009010973,577,1
Female,Black,75,16,15,3.1158127012619063,1417,0
Male,White,22,39,13,3.6357478111527106,1294,1
Male,White,53,1,13,3.7454278721188343,843,1
Female,White,31,15,13,3.154834481652768,1262,1
Male,White,18,7,15,3.756323197736307,1394,1
Female,Black,33,19,21,2.926363401555574,1271,1
Male,White,66,8,18,2.459708021111997,882,1
Female,White,55,6,17,2.895705103913402,1340,1
Female,White,27,31,17,2.396515243460512,545,1
Male,White,22,19,19,3.6267540637024673,1168,1
Male,White,66,38,15,3.5237704919563493,1486,1
Non-binary,White,42,2,17,2.1311569825328216,582,1
Female,White,44,39,17,3.51013650868307,1247,1
Male,Black,45,20,20,3.3410926227060282,694,1
Female,Asian,79,17,15,2.593364404078854,748,0
Male,White,51,9,20,3.9496577477628225,1516,1
Male,Black,46,11,15,2.9047301400290646,694,1
Male,Hispanic,45,15,16,3.461790335309427,1487,1
Female,Black,54,19,14,3.5645442973407455,1105,1
Male,White,74,37,17,2.5151477126061383,1473,1
Male,Asian,55,39,15,2.248143691236746,1094,1
Non-binary,Black,53,3,19,3.9150784587173195,1281,0
Female,Black,41,7,15,2.3022003397437585,1298,1
Female,Asian,68,39,13,2.632624843563547,1595,1
Male,White,28,18,21,3.923754515743844,426,1
Male,White,21,20,17,2.79134282937593,1015,1
Male,White,57,20,16,2.4654576219022974,452,1
Male,White,34,35,17,2.1373554751102244,427,1
Male,White,38,14,12,3.1172132759347604,760,1
Male,Black,27,30,13,2.604805821630615,1395,1
Male,Black,72,26,18,3.535551892997246,652,1
Female,Asian,64,29,18,2.624684202356091,1276,1
Male,White,38,10,19,3.8852676627999188,524,1
Male,White,58,24,20,2.0307410764743867,938,1
Female,Black,50,33,14,3.8512132492509714,1282,1
Female,Asian,37,36,13,3.044577732211073,1018,1
Male,White,56,7,13,2.2607484732043854,928,1
Female,Black,58,12,18,3.1385944439595774,599,1
Male,White,71,12,15,2.968101519434387,710,1
Male,White,63,23,20,2.2487924049211734,1595,1
Female,Asian,24,35,20,3.912694393786343,680,1
Female,Hispanic,26,33,19,3.9761887239781,755,1
Non-binary,Asian,27,10,18,2.7789789461697447,600,1
Female,Asian,77,32,15,2.2716856387303404,1389,1
Male,White,34,13,19,2.695858465553593,815,1
Male,Black,22,18,18,3.9012855608745136,407,1
Female,Other,62,5,21,2.9977461172885,939,0
Male,White,37,13,14,3.4791346048588494,1031,1
Non-binary,Asian,53,28,13,3.8893438296715406,914,1
Non-binary,White,76,7,20,3.144024875940052,564,0
Male,Black,27,29,15,3.474373547646174,1077,1
Male,Black,64,15,20,3.189009137964951,533,1
Female,White,41,4,12,3.421079245457805,1035,1
Male,White,40,31,13,3.6448249506231085,711,1
Male,White,33,21,18,2.8129922311763886,566,1
Male,Asian,22,19,17,2.5405220822734487,662,1
Male,Black,76,19,20,3.6421906737237295,471,1
Male,Black,62,27,15,2.0307599224165442,1188,1
Male,White,23,2,13,2.5805201387924788,982,1
Non-binary,White,76,3,20,3.9844809059319712,1245,1
Male,White,49,27,16,3.081863838316557,476,1
Male,Black,61,28,20,2.9532484726412465,973,1
Female,Black,29,9,17,3.5796085436629186,1059,1
Male,Black,62,30,20,3.4039558628164106,1255,1
Male,White,39,38,16,3.5668259466571737,1494,1
Male,White,26,18,18,2.362345764048005,984,1
Female,Asian,62,24,14,2.4374267349663112,1356,1
Male,White,57,29,16,3.5447400566950265,1485,1
Male,White,66,36,13,3.900092616127755,425,1
Female,Hispanic,20,5,16,3.7717387943170424,1523,0
Male,White,77,38,12,3.2601960778625587,1405,1
Male,Hispanic,71,25,14,3.631210118813761,939,1
Female,White,38,17,21,3.2542237736808257,1403,1
